Index,Original Review,Tokenized Review,Original Sentiment,Numerical Sentiment
0,I love this product! It's amazing!!!,"['I', 'love', 'this', 'product', '!', 'It', ""'s"", 'amazing', '...']",Positive,1
1,The item broke after one use...,"['The', 'item', 'broke', 'after', 'one', 'use', '...']",Negative,0
2,"Great quality, very happy with it.","['Great', 'quality', ',', 'very', 'happy', 'with', 'it', '.']",Positive,1
3,"Not worth the price, disappointed.","['Not', 'worth', 'the', 'price', ',', 'disappointed', '.']",Negative,0
4,This is the best purchase ever!,"['This', 'is', 'the', 'best', 'purchase', 'ever', '!']",Positive,1
5,"Poor service, won't buy again.","['Poor', 'service', ',', 'wo', ""n't"", 'buy', 'again', '.']",Negative,0
6,"Awesome features, highly recommend.","['Awesome', 'features', ',', 'highly', 'recommend', '.']",Positive,1
7,"It’s okay, nothing special.","['It', '’', 's', 'okay', ',', 'nothing', 'special', '.']",Neutral,2
8,"Terrible experience, avoid this!","['Terrible', 'experience', ',', 'avoid', 'this', '!']",Negative,0
9,"Fantastic item, works perfectly.","['Fantastic', 'item', ',', 'works', 'perfectly', '.']",Positive,1
